MAE_scaled,RMSE_scaled,R2_scaled,MAE_original,RMSE_original,R2_original,window,model,epochs,section,feature_set,num_features
0.01602756232023239,0.02852654386851372,0.9167646765708923,15.931397438049316,28.35538560955231,0.9167646765708923,1,Residual-LSTM,4.0,window,,
0.019785933196544647,0.03114534806983326,0.9021678566932678,19.66721534729004,30.95847714486141,0.9021678566932678,6,Residual-LSTM,4.0,window,,
0.014120115898549557,0.026557101549605337,0.9286200404167175,14.035395622253418,26.39775889738914,0.9286200404167175,12,Residual-LSTM,4.0,window,,
0.014471111819148064,0.026760296810684075,0.9285197854042053,14.384285926818848,26.599733784426185,0.9285198450088501,18,Residual-LSTM,4.0,window,,
0.017570720985531807,0.029165900040631684,0.9164056181907654,17.46529769897461,28.990906440641,0.9164056181907654,24,Residual-LSTM,4.0,window,,
0.01584540493786335,0.027955552858884375,0.9210761785507202,15.750330924987793,27.787818226641598,0.9210761785507202,48,Residual-LSTM,4.0,window,,
0.013793693729396497,0.02493058361362988,0.9370957557188377,13.710931585384463,24.781000104948028,0.9370957557243905,12,HistGradientBoosting,,model_comparison,,
0.014973506331443787,0.02637000973926843,0.929622232913971,14.883666038513184,26.211788594602336,0.9296221733093262,12,Ridge,,model_comparison,,
0.014120115898549557,0.026557101549605337,0.9286200404167175,14.035395622253418,26.39775889738914,0.9286200404167175,12,Residual-LSTM,,model_comparison,,
0.014596560969948769,0.027046706137138294,0.9259638786315918,14.508981704711914,26.88442785215077,0.925963819026947,12,Persistence,,model_comparison,,
0.014684014953672886,0.026765356818883226,0.9274961352348328,14.595911026000977,26.604765317470033,0.9274961352348328,12,,,feature_ablation,Pollution only,1.0
0.014818767085671425,0.026867446612464402,0.926941990852356,14.729853630065918,26.706241361088587,0.926941990852356,12,,,feature_ablation,Pollution + weather,9.0
0.014884069561958313,0.02698618978865374,0.9262948036193848,14.794767379760742,26.824273074522683,0.9262948036193848,12,,,feature_ablation,Full features,17.0
0.07182833552360535,0.08673165231811249,0.23867464065551758,71.39736938476562,86.21126281372696,0.23867452144622803,12,,,feature_ablation,Weather only,16.0
